"","judgmentDate","type","count"
"1",2000-01-03,"Agravo de Instrumento",2
"2",2000-01-06,"Agravo de Instrumento",1
"3",2000-01-10,"Agravo de Instrumento",2
"4",2000-01-11,"Agravo de Instrumento",4
"5",2000-01-20,"Agravo de Instrumento",2
"6",2000-01-24,"Agravo de Instrumento",1
"7",2000-02-02,"Agravo de Instrumento",2
"8",2000-02-06,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",1
"9",2000-02-07,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",1
"10",2000-02-08,"Agravo de Instrumento",14
"11",2000-02-08,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",33
"12",2000-02-08,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",1
"13",2000-02-09,"Agravo",1
"14",2000-02-09,"Agravo de Instrumento",1
"15",2000-02-09,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",9
"16",2000-02-09,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",22
"17",2000-02-09,"Reexame Necess\xc3\xa1rio",1
"18",2000-02-10,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",1
"19",2000-02-14,"Agravo",1
"20",2000-02-14,"Agravo de Instrumento",1
"21",2000-02-14,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",4
"22",2000-02-15,"Agravo",1
"23",2000-02-15,"Agravo de Instrumento",6
"24",2000-02-15,"Agravo Regimental",2
"25",2000-02-15,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",18
"26",2000-02-15,"Embargos de Declara\xc3\xa7\xc3\xa3o",1
"27",2000-02-16,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",20
"28",2000-02-20,"Agravo de Instrumento",1
"29",2000-02-20,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",8
"30",2000-02-20,"Embargos de Declara\xc3\xa7\xc3\xa3o",1
"31",2000-02-21,"Agravo de Instrumento",2
"32",2000-02-21,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",4
"33",2000-02-21,"Apela\xc3\xa7\xc3\xa3o Crime",1
"34",2000-02-21,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",2
"35",2000-02-22,"Agravo de Instrumento",6
"36",2000-02-22,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",26
"37",2000-02-23,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",14
"38",2000-02-24,"Agravo",1
"39",2000-02-28,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",2
"40",2000-02-29,"A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria",1
"41",2000-02-29,"Agravo de Instrumento",2
"42",2000-02-29,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",10
"43",2000-03-01,"Agravo",2
"44",2000-03-01,"Agravo de Instrumento",25
"45",2000-03-01,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",15
"46",2000-03-01,"Apela\xc3\xa7\xc3\xa3o Crime",2
"47",2000-03-01,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",24
"48",2000-03-01,"Reexame Necess\xc3\xa1rio",7
"49",2000-03-06,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",1
"50",2000-03-08,"Agravo de Instrumento",1
"51",2000-03-08,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",6
"52",2000-03-08,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",38
"53",2000-03-08,"Reexame Necess\xc3\xa1rio",1
"54",2000-03-09,"Agravo Regimental",1
"55",2000-03-09,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",15
"56",2000-03-13,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",2
"57",2000-03-13,"Conflito de Compet\xc3\xaancia",1
"58",2000-03-14,"Agravo de Instrumento",7
"59",2000-03-14,"Agravo Regimental",1
"60",2000-03-14,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",19
"61",2000-03-14,"Reexame Necess\xc3\xa1rio",1
"62",2000-03-15,"Agravo de Instrumento",8
"63",2000-03-15,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",12
"64",2000-03-15,"Apela\xc3\xa7\xc3\xa3o Crime",1
"65",2000-03-15,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",18
"66",2000-03-15,"Embargos de Declara\xc3\xa7\xc3\xa3o",3
"67",2000-03-16,"Agravo de Instrumento",5
"68",2000-03-16,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",31
"69",2000-03-16,"Embargos de Declara\xc3\xa7\xc3\xa3o",3
"70",2000-03-17,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",1
"71",2000-03-21,"Agravo",11
"72",2000-03-21,"Agravo de Instrumento",13
"73",2000-03-21,"Agravo Regimental",2
"74",2000-03-21,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",34
"75",2000-03-21,"Apela\xc3\xa7\xc3\xa3o Crime",2
"76",2000-03-21,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",1
"77",2000-03-21,"Embargos de Declara\xc3\xa7\xc3\xa3o",1
"78",2000-03-22,"Agravo de Instrumento",12
"79",2000-03-22,"Agravo Interno",3
"80",2000-03-22,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",16
"81",2000-03-22,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",3
"82",2000-03-22,"Embargos de Declara\xc3\xa7\xc3\xa3o",1
"83",2000-03-22,"Reexame Necess\xc3\xa1rio",8
"84",2000-03-23,"Agravo de Instrumento",5
"85",2000-03-23,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",53
"86",2000-03-23,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",23
"87",2000-03-23,"Reexame Necess\xc3\xa1rio",4
"88",2000-03-27,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",1
"89",2000-03-28,"Agravo",3
"90",2000-03-28,"Agravo de Instrumento",13
"91",2000-03-28,"Agravo Regimental",1
"92",2000-03-28,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",48
"93",2000-03-28,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",4
"94",2000-03-28,"Conflito de Compet\xc3\xaancia",1
"95",2000-03-28,"Embargos de Declara\xc3\xa7\xc3\xa3o",10
"96",2000-03-29,"Agravo",1
"97",2000-03-29,"Agravo de Instrumento",1
"98",2000-03-29,"Agravo Regimental",1
"99",2000-03-29,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",10
"100",2000-03-29,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",6
"101",2000-03-29,"Embargos de Declara\xc3\xa7\xc3\xa3o",12
"102",2000-03-29,"Exce\xc3\xa7\xc3\xa3o de Suspei\xc3\xa7\xc3\xa3o",1
"103",2000-03-30,"Agravo de Instrumento",3
"104",2000-03-30,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",16
"105",2000-03-31,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",1
"106",2000-04-04,"Agravo de Instrumento",6
"107",2000-04-04,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",35
"108",2000-04-04,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",15
"109",2000-04-04,"Embargos de Declara\xc3\xa7\xc3\xa3o",1
"110",2000-04-04,"Reexame Necess\xc3\xa1rio",1
"111",2000-04-05,"Agravo de Instrumento",1
"112",2000-04-05,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",17
"113",2000-04-05,"Apela\xc3\xa7\xc3\xa3o Crime",2
"114",2000-04-06,"A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria",1
"115",2000-04-06,"Agravo de Instrumento",1
"116",2000-04-06,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",9
"117",2000-04-06,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",2
"118",2000-04-06,"Mandado de Seguran\xc3\xa7a",1
"119",2000-04-07,"Agravo de Instrumento",1
"120",2000-04-10,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",1
"121",2000-04-10,"Embargos de Declara\xc3\xa7\xc3\xa3o",1
"122",2000-04-11,"Agravo de Instrumento",14
"123",2000-04-11,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",18
"124",2000-04-11,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",3
"125",2000-04-11,"Reexame Necess\xc3\xa1rio",4
"126",2000-04-12,"Agravo",11
"127",2000-04-12,"Agravo de Instrumento",14
"128",2000-04-12,"Agravo Regimental",4
"129",2000-04-12,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",40
"130",2000-04-12,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",8
"131",2000-04-12,"Embargos de Declara\xc3\xa7\xc3\xa3o",9
"132",2000-04-12,"Mandado de Seguran\xc3\xa7a",1
"133",2000-04-12,"Reexame Necess\xc3\xa1rio",3
"134",2000-04-13,"Agravo de Instrumento",11
"135",2000-04-13,"Agravo Regimental",2
"136",2000-04-13,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",37
"137",2000-04-13,"Apela\xc3\xa7\xc3\xa3o Crime",1
"138",2000-04-13,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",4
"139",2000-04-13,"Embargos de Declara\xc3\xa7\xc3\xa3o",1
"140",2000-04-14,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",13
"141",2000-04-14,"Reexame Necess\xc3\xa1rio",2
"142",2000-04-18,"Agravo",1
"143",2000-04-18,"Agravo de Instrumento",4
"144",2000-04-18,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",14
"145",2000-04-19,"Agravo",1
"146",2000-04-19,"Agravo de Instrumento",17
"147",2000-04-19,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",73
"148",2000-04-19,"Embargos de Declara\xc3\xa7\xc3\xa3o",1
"149",2000-04-20,"Agravo",1
"150",2000-04-20,"Agravo de Instrumento",3
"151",2000-04-20,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",21
"152",2000-04-20,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",9
"153",2000-04-20,"Reexame Necess\xc3\xa1rio",2
"154",2000-04-25,"Agravo",2
"155",2000-04-25,"Agravo de Instrumento",16
"156",2000-04-25,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",26
"157",2000-04-25,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",34
"158",2000-04-25,"Embargos de Declara\xc3\xa7\xc3\xa3o",3
"159",2000-04-25,"Mandado de Seguran\xc3\xa7a",1
"160",2000-04-26,"A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria",1
"161",2000-04-26,"Agravo de Instrumento",44
"162",2000-04-26,"Agravo Regimental",2
"163",2000-04-26,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",34
"164",2000-04-26,"Embargos de Declara\xc3\xa7\xc3\xa3o",3
"165",2000-04-26,"Habeas Corpus",2
"166",2000-04-26,"Outros Feitos",1
"167",2000-04-26,"Reexame Necess\xc3\xa1rio",2
"168",2000-04-27,"Agravo",2
"169",2000-04-27,"Agravo de Instrumento",2
"170",2000-04-27,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",18
"171",2000-04-27,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",1
"172",2000-04-28,"Agravo de Instrumento",11
"173",2000-05-02,"Agravo de Instrumento",2
"174",2000-05-02,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",1
"175",2000-05-02,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",1
"176",2000-05-03,"A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria",1
"177",2000-05-03,"Agravo",4
"178",2000-05-03,"Agravo de Instrumento",41
"179",2000-05-03,"Agravo Interno",2
"180",2000-05-03,"Agravo Regimental",1
"181",2000-05-03,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",46
"182",2000-05-03,"Apela\xc3\xa7\xc3\xa3o Crime",1
"183",2000-05-03,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",10
"184",2000-05-03,"Embargos de Declara\xc3\xa7\xc3\xa3o",6
"185",2000-05-03,"Habeas Corpus",2
"186",2000-05-03,"Reexame Necess\xc3\xa1rio",3
"187",2000-05-04,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",4
"188",2000-05-07,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",1
"189",2000-05-09,"Agravo",2
"190",2000-05-09,"Agravo de Instrumento",46
"191",2000-05-09,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",65
"192",2000-05-09,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",17
"193",2000-05-09,"Conflito de Compet\xc3\xaancia",1
"194",2000-05-09,"Embargos de Declara\xc3\xa7\xc3\xa3o",13
"195",2000-05-09,"Reexame Necess\xc3\xa1rio",2
"196",2000-05-10,"Agravo",1
"197",2000-05-10,"Agravo de Instrumento",6
"198",2000-05-10,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",54
"199",2000-05-10,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",2
"200",2000-05-10,"Embargos de Declara\xc3\xa7\xc3\xa3o",2
"201",2000-05-11,"Agravo",1
"202",2000-05-11,"Agravo de Instrumento",2
"203",2000-05-11,"Agravo Interno",1
"204",2000-05-11,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",30
"205",2000-05-11,"Apela\xc3\xa7\xc3\xa3o Crime",1
"206",2000-05-11,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",1
"207",2000-05-11,"Embargos de Declara\xc3\xa7\xc3\xa3o",2
"208",2000-05-15,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",1
"209",2000-05-16,"Agravo de Instrumento",6
"210",2000-05-16,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",10
"211",2000-05-16,"Embargos de Declara\xc3\xa7\xc3\xa3o",12
"212",2000-05-17,"A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria",1
"213",2000-05-17,"Agravo",1
"214",2000-05-17,"Agravo de Instrumento",15
"215",2000-05-17,"Agravo Regimental",1
"216",2000-05-17,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",90
"217",2000-05-17,"Embargos de Declara\xc3\xa7\xc3\xa3o",9
"218",2000-05-17,"Impugna\xc3\xa7\xc3\xa3o ao Valor da Causa",1
"219",2000-05-17,"Medida Cautelar",1
"220",2000-05-17,"Reexame Necess\xc3\xa1rio",1
"221",2000-05-18,"Agravo de Instrumento",4
"222",2000-05-18,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",22
"223",2000-05-18,"Apela\xc3\xa7\xc3\xa3o Crime",1
"224",2000-05-18,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",1
"225",2000-05-18,"Embargos de Declara\xc3\xa7\xc3\xa3o",1
"226",2000-05-22,"Agravo de Instrumento",1
"227",2000-05-23,"Agravo de Instrumento",13
"228",2000-05-23,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",61
"229",2000-05-23,"Embargos de Declara\xc3\xa7\xc3\xa3o",2
"230",2000-05-23,"Reexame Necess\xc3\xa1rio",1
"231",2000-05-24,"Agravo de Instrumento",55
"232",2000-05-24,"Agravo Interno",1
"233",2000-05-24,"Agravo Regimental",2
"234",2000-05-24,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",54
"235",2000-05-24,"Apela\xc3\xa7\xc3\xa3o Crime",2
"236",2000-05-24,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",3
"237",2000-05-24,"Embargos de Declara\xc3\xa7\xc3\xa3o",12
"238",2000-05-24,"Habeas Corpus",1
"239",2000-05-24,"Mandado de Seguran\xc3\xa7a",1
"240",2000-05-25,"Agravo",1
"241",2000-05-25,"Agravo de Instrumento",5
"242",2000-05-25,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",23
"243",2000-05-25,"Embargos de Declara\xc3\xa7\xc3\xa3o",5
"244",2000-05-30,"Agravo de Instrumento",83
"245",2000-05-30,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",40
"246",2000-05-30,"Apela\xc3\xa7\xc3\xa3o Crime",2
"247",2000-05-30,"Embargos de Declara\xc3\xa7\xc3\xa3o",3
"248",2000-05-31,"Agravo",1
"249",2000-05-31,"Agravo de Instrumento",40
"250",2000-05-31,"Agravo Regimental",1
"251",2000-05-31,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",95
"252",2000-05-31,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",17
"253",2000-05-31,"Embargos de Declara\xc3\xa7\xc3\xa3o",11
"254",2000-05-31,"Reexame Necess\xc3\xa1rio",9
"255",2000-06-01,"A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria",1
"256",2000-06-01,"Agravo",5
"257",2000-06-01,"Agravo de Instrumento",14
"258",2000-06-01,"Agravo Interno",1
"259",2000-06-01,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",49
"260",2000-06-01,"Apela\xc3\xa7\xc3\xa3o Crime",1
"261",2000-06-01,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",1
"262",2000-06-01,"Embargos de Declara\xc3\xa7\xc3\xa3o",6
"263",2000-06-01,"Habeas Corpus",1
"264",2000-06-06,"Agravo de Instrumento",25
"265",2000-06-06,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",19
"266",2000-06-06,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",13
"267",2000-06-06,"Embargos de Declara\xc3\xa7\xc3\xa3o",4
"268",2000-06-06,"Reexame Necess\xc3\xa1rio",1
"269",2000-06-07,"A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria",1
"270",2000-06-07,"Agravo",4
"271",2000-06-07,"Agravo de Instrumento",39
"272",2000-06-07,"Agravo Regimental",1
"273",2000-06-07,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",170
"274",2000-06-07,"Apela\xc3\xa7\xc3\xa3o Crime",1
"275",2000-06-07,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",20
"276",2000-06-07,"Conflito de Compet\xc3\xaancia",1
"277",2000-06-07,"Embargos de Declara\xc3\xa7\xc3\xa3o",12
"278",2000-06-07,"Medida Cautelar Inominada",1
"279",2000-06-07,"Outros Incidentes",1
"280",2000-06-07,"Reexame Necess\xc3\xa1rio",5
"281",2000-06-08,"Agravo de Instrumento",27
"282",2000-06-08,"Agravo Interno",3
"283",2000-06-08,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",91
"284",2000-06-08,"Apela\xc3\xa7\xc3\xa3o Crime",1
"285",2000-06-08,"Embargos de Declara\xc3\xa7\xc3\xa3o",15
"286",2000-06-08,"Reexame Necess\xc3\xa1rio",1
"287",2000-06-10,"Agravo",1
"288",2000-06-13,"A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria",1
"289",2000-06-13,"Agravo",1
"290",2000-06-13,"Agravo de Instrumento",3
"291",2000-06-13,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",31
"292",2000-06-13,"Embargos de Declara\xc3\xa7\xc3\xa3o",1
"293",2000-06-14,"Agravo",9
"294",2000-06-14,"Agravo de Instrumento",33
"295",2000-06-14,"Agravo Interno",1
"296",2000-06-14,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",70
