"","yearMonth","type","count"
"1",2000-01-01,"Agravo de Instrumento",12
"2",2000-02-01,"A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria",1
"3",2000-02-01,"Agravo",4
"4",2000-02-01,"Agravo de Instrumento",35
"5",2000-02-01,"Agravo Regimental",2
"6",2000-02-01,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",151
"7",2000-02-01,"Apela\xc3\xa7\xc3\xa3o Crime",1
"8",2000-02-01,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",25
"9",2000-02-01,"Embargos de Declara\xc3\xa7\xc3\xa3o",2
"10",2000-02-01,"Reexame Necess\xc3\xa1rio",1
"11",2000-03-01,"Agravo",17
"12",2000-03-01,"Agravo de Instrumento",93
"13",2000-03-01,"Agravo Interno",3
"14",2000-03-01,"Agravo Regimental",6
"15",2000-03-01,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",279
"16",2000-03-01,"Apela\xc3\xa7\xc3\xa3o Crime",5
"17",2000-03-01,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",119
"18",2000-03-01,"Conflito de Compet\xc3\xaancia",2
"19",2000-03-01,"Embargos de Declara\xc3\xa7\xc3\xa3o",30
"20",2000-03-01,"Exce\xc3\xa7\xc3\xa3o de Suspei\xc3\xa7\xc3\xa3o",1
"21",2000-03-01,"Reexame Necess\xc3\xa1rio",21
"22",2000-04-01,"A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria",2
"23",2000-04-01,"Agravo",18
"24",2000-04-01,"Agravo de Instrumento",145
"25",2000-04-01,"Agravo Regimental",8
"26",2000-04-01,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",343
"27",2000-04-01,"Apela\xc3\xa7\xc3\xa3o Crime",3
"28",2000-04-01,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",89
"29",2000-04-01,"Embargos de Declara\xc3\xa7\xc3\xa3o",19
"30",2000-04-01,"Habeas Corpus",2
"31",2000-04-01,"Mandado de Seguran\xc3\xa7a",3
"32",2000-04-01,"Outros Feitos",1
"33",2000-04-01,"Reexame Necess\xc3\xa1rio",14
"34",2000-05-01,"A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria",2
"35",2000-05-01,"Agravo",11
"36",2000-05-01,"Agravo de Instrumento",319
"37",2000-05-01,"Agravo Interno",4
"38",2000-05-01,"Agravo Regimental",5
"39",2000-05-01,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",596
"40",2000-05-01,"Apela\xc3\xa7\xc3\xa3o Crime",7
"41",2000-05-01,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",53
"42",2000-05-01,"Conflito de Compet\xc3\xaancia",1
"43",2000-05-01,"Embargos de Declara\xc3\xa7\xc3\xa3o",78
"44",2000-05-01,"Habeas Corpus",3
"45",2000-05-01,"Impugna\xc3\xa7\xc3\xa3o ao Valor da Causa",1
"46",2000-05-01,"Mandado de Seguran\xc3\xa7a",1
"47",2000-05-01,"Medida Cautelar",1
"48",2000-05-01,"Reexame Necess\xc3\xa1rio",16
"49",2000-06-01,"A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria",3
"50",2000-06-01,"Agravo",58
"51",2000-06-01,"Agravo de Instrumento",411
"52",2000-06-01,"Agravo Interno",27
"53",2000-06-01,"Agravo Regimental",10
"54",2000-06-01,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",1170
"55",2000-06-01,"Apela\xc3\xa7\xc3\xa3o Crime",45
"56",2000-06-01,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",157
"57",2000-06-01,"Conflito de Compet\xc3\xaancia",4
"58",2000-06-01,"Embargos de Declara\xc3\xa7\xc3\xa3o",362
"59",2000-06-01,"Habeas Corpus",26
"60",2000-06-01,"Mandado de Seguran\xc3\xa7a",3
"61",2000-06-01,"Medida Cautelar Inominada",1
"62",2000-06-01,"Outros Feitos",2
"63",2000-06-01,"Outros Incidentes",1
"64",2000-06-01,"Processo Crime",3
"65",2000-06-01,"Recurso Crime",2
"66",2000-06-01,"Recurso de Of\xc3\xadcio",1
"67",2000-06-01,"Recurso em Sentido Estrito",5
"68",2000-06-01,"Reexame Necess\xc3\xa1rio",16
"69",2000-07-01,"Agravo",5
"70",2000-07-01,"Agravo Regimental",1
"71",2000-07-01,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",1
"72",2000-07-01,"Apela\xc3\xa7\xc3\xa3o Crime",46
"73",2000-07-01,"Correi\xc3\xa7\xc3\xa3o Parcial",1
"74",2000-07-01,"Habeas Corpus",43
"75",2000-07-01,"Mandado de Seguran\xc3\xa7a",1
"76",2000-07-01,"Recurso de Of\xc3\xadcio",1
"77",2000-07-01,"Recurso em Sentido Estrito",8
"78",2000-08-01,"A\xc3\xa7\xc3\xa3o Rescis\xc3\xb3ria",2
"79",2000-08-01,"Agravo",70
"80",2000-08-01,"Agravo de Instrumento",934
"81",2000-08-01,"Agravo em Execu\xc3\xa7\xc3\xa3o",4
"82",2000-08-01,"Agravo Interno",25
"83",2000-08-01,"Agravo Lei",1
"84",2000-08-01,"Agravo Regimental",52
"85",2000-08-01,"Apela\xc3\xa7\xc3\xa3o C\xc3\xadvel",2495
"86",2000-08-01,"Apela\xc3\xa7\xc3\xa3o Crime",163
"87",2000-08-01,"Apela\xc3\xa7\xc3\xa3o e Reexame Necess\xc3\xa1rio",308
"88",2000-08-01,"Conflito de Compet\xc3\xaancia",5
"89",2000-08-01,"Conflito de Jurisdi\xc3\xa7\xc3\xa3o",3
"90",2000-08-01,"Correi\xc3\xa7\xc3\xa3o Parcial",2
"91",2000-08-01,"Embargos de Declara\xc3\xa7\xc3\xa3o",418
"92",2000-08-01,"Exce\xc3\xa7\xc3\xa3o de Suspei\xc3\xa7\xc3\xa3o",1
"93",2000-08-01,"Habeas Corpus",105
"94",2000-08-01,"Mandado de Seguran\xc3\xa7a",11
"95",2000-08-01,"Medida Cautelar",1
"96",2000-08-01,"Outros Feitos",3
"97",2000-08-01,"Outros Incidentes",3
