,weekDay,type,count
0,Sun,Ação Civil Pública,2
1,Sun,Ação Rescisória,9
2,Sun,Agravo,50
3,Sun,Agravo de Instrumento,3754
4,Sun,Agravo em Execução,1
5,Sun,Agravo Interno,2
6,Sun,Agravo Regimental,4
7,Sun,Apelação Cível,2576
8,Sun,Apelação Crime,26
9,Sun,Apelação e Reexame Necessário,394
10,Sun,Cautelar Inominada,1
11,Sun,Conflito de Competência,62
12,Sun,Correição Parcial,8
13,Sun,Embargos de Declaração,277
14,Sun,Embargos Infringentes,2
15,Sun,Embargos Infringentes e de Nulidade,2
16,Sun,Exceção de Suspeição,3
17,Sun,Habeas Corpus,49
18,Sun,Impugnação à Assistência Judiciária,1
19,Sun,Incidente de Uniformizacao Jurisprudencia,3
20,Sun,Mandado de Injunção,15
21,Sun,Mandado de Segurança,29
22,Sun,Medida Cautelar,1
23,Sun,Petição,1
24,Sun,Reclamação,4
25,Sun,Recurso Cível,86
26,Sun,Recurso em Sentido Estrito,2
27,Sun,Recurso Especial,637
28,Sun,Recurso Especial e ou Extraordinário,158
29,Sun,Recurso Extraordinário,144
30,Sun,Recurso Inominado,1
31,Sun,Reexame Necessário,173
32,Sun,Revisão Criminal,15
33,Sun,Uniformização de Jurisprudência,1
34,Mon,Ação Civil Pública,1
35,Mon,Ação Direta de Inconstitucionalidade,2451
36,Mon,Ação Penal,24
37,Mon,Ação Rescisória,511
38,Mon,Agravo,3475
39,Mon,Agravo de Instrumento,182810
40,Mon,Agravo em Execução,70
41,Mon,Agravo em Rec,1
42,Mon,Agravo Inominado,1
43,Mon,Agravo Interno,66
44,Mon,Agravo Regimental,963
45,Mon,Apelação Cível,81312
46,Mon,Apelação Crime,1875
47,Mon,Apelação e Reexame Necessário,8148
48,Mon,Apelação Rec,1
49,Mon,Carta Testemunhável,14
50,Mon,Cautelar Inominada,57
51,Mon,Conflito de Competência,3611
52,Mon,Conflito de Jurisdição,66
53,Mon,Correição Parcial,753
54,Mon,Crime Responsabilidade Funcionário Publico,1
55,Mon,Crimes contra a honra,6
56,Mon,Cumprimento de Sentença,4
