,yearMonth,type,count
0,2000-01-01,Agravo de Instrumento,12
1,2000-02-01,Ação Rescisória,1
2,2000-02-01,Agravo,4
3,2000-02-01,Agravo de Instrumento,35
4,2000-02-01,Agravo Regimental,2
5,2000-02-01,Apelação Cível,151
6,2000-02-01,Apelação Crime,1
7,2000-02-01,Apelação e Reexame Necessário,25
8,2000-02-01,Embargos de Declaração,2
9,2000-02-01,Reexame Necessário,1
10,2000-03-01,Agravo,17
11,2000-03-01,Agravo de Instrumento,93
12,2000-03-01,Agravo Interno,3
13,2000-03-01,Agravo Regimental,6
14,2000-03-01,Apelação Cível,279
15,2000-03-01,Apelação Crime,5
16,2000-03-01,Apelação e Reexame Necessário,119
17,2000-03-01,Conflito de Competência,2
18,2000-03-01,Embargos de Declaração,30
19,2000-03-01,Exceção de Suspeição,1
20,2000-03-01,Reexame Necessário,21
21,2000-04-01,Ação Rescisória,2
22,2000-04-01,Agravo,18
23,2000-04-01,Agravo de Instrumento,145
24,2000-04-01,Agravo Regimental,8
25,2000-04-01,Apelação Cível,343
26,2000-04-01,Apelação Crime,3
27,2000-04-01,Apelação e Reexame Necessário,89
28,2000-04-01,Embargos de Declaração,19
29,2000-04-01,Habeas Corpus,2
30,2000-04-01,Mandado de Segurança,3
31,2000-04-01,Outros Feitos,1
32,2000-04-01,Reexame Necessário,14
33,2000-05-01,Ação Rescisória,2
34,2000-05-01,Agravo,11
35,2000-05-01,Agravo de Instrumento,319
36,2000-05-01,Agravo Interno,4
37,2000-05-01,Agravo Regimental,5
38,2000-05-01,Apelação Cível,596
39,2000-05-01,Apelação Crime,7
40,2000-05-01,Apelação e Reexame Necessário,53
41,2000-05-01,Conflito de Competência,1
42,2000-05-01,Embargos de Declaração,78
43,2000-05-01,Habeas Corpus,3
44,2000-05-01,Impugnação ao Valor da Causa,1
45,2000-05-01,Mandado de Segurança,1
46,2000-05-01,Medida Cautelar,1
47,2000-05-01,Reexame Necessário,16
48,2000-06-01,Ação Rescisória,3
49,2000-06-01,Agravo,58
50,2000-06-01,Agravo de Instrumento,411
51,2000-06-01,Agravo Interno,27
52,2000-06-01,Agravo Regimental,10
53,2000-06-01,Apelação Cível,1170
54,2000-06-01,Apelação Crime,45
55,2000-06-01,Apelação e Reexame Necessário,157
56,2000-06-01,Conflito de Competência,4
57,2000-06-01,Embargos de Declaração,362
58,2000-06-01,Habeas Corpus,26
59,2000-06-01,Mandado de Segurança,3
60,2000-06-01,Medida Cautelar Inominada,1
61,2000-06-01,Outros Feitos,2
62,2000-06-01,Outros Incidentes,1
63,2000-06-01,Processo Crime,3
64,2000-06-01,Recurso Crime,2
65,2000-06-01,Recurso de Ofício,1
66,2000-06-01,Recurso em Sentido Estrito,5
67,2000-06-01,Reexame Necessário,16
68,2000-07-01,Agravo,5
69,2000-07-01,Agravo Regimental,1
70,2000-07-01,Apelação Cível,1
71,2000-07-01,Apelação Crime,46
72,2000-07-01,Correição Parcial,1
73,2000-07-01,Habeas Corpus,43
74,2000-07-01,Mandado de Segurança,1
75,2000-07-01,Recurso de Ofício,1
76,2000-07-01,Recurso em Sentido Estrito,8
77,2000-08-01,Ação Rescisória,2
78,2000-08-01,Agravo,70
79,2000-08-01,Agravo de Instrumento,934
80,2000-08-01,Agravo em Execução,4
81,2000-08-01,Agravo Interno,25
82,2000-08-01,Agravo Lei,1
83,2000-08-01,Agravo Regimental,52
84,2000-08-01,Apelação Cível,2495
85,2000-08-01,Apelação Crime,163
86,2000-08-01,Apelação e Reexame Necessário,308
87,2000-08-01,Conflito de Competência,5
