Time,Open,High,Low,Last,Change,Volume
04/15/2020,283.18,286.33,280.63,284.43,-2.62,32075356
04/14/2020,280,288.25,278.05,287.05,13.8,48748600
04/13/2020,268.31,273.7,265.83,273.25,5.26,32755700
04/09/2020,268.7,270.07,264.7,267.99,1.92,40529100
04/08/2020,262.74,267.37,261.23,266.07,6.64,42223800
04/07/2020,269.39,271.7,259,259.43,-3.04,50721800
04/06/2020,250.9,263.11,249.38,262.47,21.06,50455000
04/03/2020,242.8,245.7,238.9741,241.41,-3.52,32470000
04/02/2020,240.34,245.15,236.9,244.93,4.02,41483400
04/01/2020,246.5,248.72,239.13,240.91,-13.38,44054600
03/31/2020,255.6,262.49,252,254.29,-0.52000000000001,49250500
03/30/2020,250.74,255.52,249.4,254.81,7.07,41994100
03/27/2020,252.75,255.87,247.05,247.74,-10.7,51054100
03/26/2020,247.2,258.68,246.36,258.44,12.92,63140100
03/25/2020,250.75,258.25,244.3,245.52,-1.36,75900496
03/24/2020,236.36,247.69,234.3,246.88,22.51,71882704
03/23/2020,228.08,228.4997,212.61,224.37,-4.87,84188200
03/20/2020,247.18,251.83,228,229.24,-15.54,100423296
03/19/2020,247.38,252.84,242.61,244.78,-1.89,67964200
03/18/2020,239.77,250,237.12,246.67,-6.19,75058400
03/17/2020,247.51,257.61,238.4,252.86,10.65,81013904
03/16/2020,241.95,259.08,240,242.21,-35.76,80605800
03/13/2020,264.89,279.92,252.95,277.97,29.74,92683000
03/12/2020,255.94,270,248,248.23,-27.2,104618496
03/11/2020,277.39,281.22,271.86,275.43,-9.91,64094900
03/10/2020,277.14,286.44,269.37,285.34,19.17,71322496
03/09/2020,263.75,278.09,263,266.17,-22.86,71686200
03/06/2020,282,290.82,281.23,289.03,-3.89,56544200
03/05/2020,295.52,299.55,291.41,292.92,-9.82,46893200
03/04/2020,296.44,303.4,293.13,302.74,13.42,54794500
03/03/2020,303.67,304,285.8,289.32,-9.49,79862704
03/02/2020,282.28,301.44,277.72,298.81,25.45,85349296
02/28/2020,257.26,278.41,256.37,273.36,-0.15999999999997,106721200
02/27/2020,281.1,286,272.96,273.52,-19.13,80150704
02/26/2020,286.53,297.88,286.5,292.65,4.57,49650700
02/25/2020,300.95,302.53,286.13,288.08,-10.1,57668300
02/24/2020,297.26,304.18,289.23,298.18,-14.87,55548800
02/21/2020,318.62,320.45,310.5,313.05,-7.25,32426400
02/20/2020,322.63,324.65,318.21,320.3,-3.32,25141400
02/19/2020,320,324.57,320,323.62,4.62,23495900
02/18/2020,315.36,319.75,314.61,319,-5.95,38190500
02/14/2020,324.74,325.98,322.85,324.95,0.079999999999984,20028400
02/13/2020,324.19,326.22,323.35,324.87,-2.33,23686800
02/12/2020,321.47,327.22,321.47,327.2,7.59,28432500
02/11/2020,323.6,323.9,318.71,319.61,-1.94,23580700
02/10/2020,314.18,321.55,313.85,321.55,1.52,27337200
02/07/2020,322.37,323.4,318,320.03,-5.18,29421000
02/06/2020,322.57,325.22,320.2648,325.21,3.76,26356300
02/05/2020,323.52,324.76,318.95,321.45,2.6,29706700
02/04/2020,315.31,319.64,313.6345,318.85,10.19,34154100
02/03/2020,304.3,313.49,302.22,308.66,-0.84999999999997,43496300
01/31/2020,320.93,322.68,308.29,309.51,-14.36,49897000
01/30/2020,320.54,324.09,318.75,323.87,-0.46999999999997,31685800
01/29/2020,324.45,327.85,321.38,324.34,6.65,54149900
01/28/2020,312.6,318.4,312.19,317.69,8.74,40558400
01/27/2020,310.06,311.77,304.88,308.95,-9.36,40485000
01/24/2020,320.25,323.33,317.5188,318.31,-0.92000000000002,36634300
01/23/2020,317.92,319.56,315.65,319.23,1.53,26117900
01/22/2020,318.58,319.99,317.31,317.7,1.13,25458100
01/21/2020,317.19,319.02,316,316.57,-2.16,27710800
01/17/2020,316.27,318.74,315,318.73,3.49,34454100
01/16/2020,313.59,315.7,312.09,315.24,3.9,27207200
01/15/2020,311.85,315.5,309.55,311.34,-1.34,30480800
01/14/2020,316.7,317.57,312.17,312.68,-4.28,40653400
01/13/2020,311.64,317.07,311.15,316.96,6.63,30521700
01/10/2020,310.6,312.67,308.25,310.33,0.69999999999999,35217200
01/09/2020,307.23,310.43,306.2,309.63,6.44,42621500
01/08/2020,297.16,304.4399,297.156,303.19,4.8,33090900
01/07/2020,299.84,300.9,297.48,298.39,-1.41,27803800
01/06/2020,293.79,299.96,292.75,299.8,2.37,29644600
01/03/2020,297.15,300.58,296.5,297.43,-2.92,36633800
01/02/2020,296.24,300.6,295.19,300.35,6.7,33911800
12/31/2019,290.2,293.68,289.52,293.65,2.13,25247600
12/30/2019,289.46,292.69,285.22,291.52,1.72,36059600
12/27/2019,291.12,293.97,288.12,289.8,-0.11000000000001,36592900
12/26/2019,284.82,289.98,284.7,289.91,5.64,23334000
12/24/2019,284.69,284.89,282.9197,284.27,0.26999999999998,12119700
12/23/2019,280.53,284.25,280.3735,284,4.56,24677800
12/20/2019,282.23,282.65,278.56,279.44,-0.57999999999998,69032704
12/19/2019,279.5,281.18,278.95,280.02,0.27999999999997,24626900
12/18/2019,279.8,281.9,279.12,279.74,-0.67000000000002,29024600
12/17/2019,279.57,281.77,278.8,280.41,0.55000000000001,28575700
12/16/2019,277,280.79,276.98,279.86,4.71,32081100
12/13/2019,271.46,275.3,270.93,275.15,3.69,33432800
12/12/2019,267.78,272.5599,267.321,271.46,0.69,34437000
12/11/2019,268.81,271.1,268.5,270.77,2.29,19723300
12/10/2019,268.6,270.07,265.86,268.48,1.56,22632300
12/09/2019,270,270.8,264.91,266.92,-3.79,32182600
12/06/2019,267.48,271,267.3,270.71,5.13,26547400
12/05/2019,263.79,265.89,262.73,265.58,3.84,18661300
12/04/2019,261.07,263.31,260.68,261.74,2.29,16810300
12/03/2019,258.31,259.53,256.29,259.45,-4.71,29377200
12/02/2019,267.27,268.25,263.45,264.16,-3.09,23693500
11/29/2019,266.6,268,265.9,267.25,-0.58999999999997,11654300
11/27/2019,265.58,267.98,265.31,267.84,3.55,16386100
11/26/2019,266.94,267.16,262.5,264.29,-2.08,26334800
11/25/2019,262.71,266.44,262.52,266.37,4.59,21029500
11/22/2019,262.59,263.18,260.84,261.78,-0.23000000000002,16331200
11/21/2019,263.69,264.005,261.18,262.01,-1.18,30348700
11/20/2019,265.54,266.083,260.4,263.19,-3.1,26609900
11/19/2019,267.9,268,265.3926,266.29,-0.81,19069500
11/18/2019,265.8,267.43,264.23,267.1,1.34,21700800
11/15/2019,263.68,265.78,263.01,265.76,3.12,25093600
