real;dolar
27.66;12.96
27.45;12.91
27.58;13
26.97;12.78
26.96;12.68
27.36;12.73
27.55;12.67
27.84;12.94
27.82;12.87
27.91;12.96
28.48;13.12
28.7;12.99
28.69;12.96
28.33;12.94
27.54;12.72
26.96;12.61
26.57;12.45
26.6;12.46
26.79;12.58
26.76;12.45
26.74;12.4
26.8;12.52
26.74;12.54
26.82;12.54
27.28;12.77
27.26;12.88
27.1;12.82
27.04;12.75
27.33;12.93
27.44;12.9
27.32;12.9
27.15;12.9
27.67;13.26
27.59;13.39
27.58;13.29
27.82;13.43
27.76;13.51
27.28;13.18
27.86;13.52
28.13;13.65
28.36;13.5
28.88;13.47
28.83;13.19
28.3;13.25
29.03;13.17
29.05;13.36
28.61;12.96
29.4;12.84
29.23;12.75
30.26;12.61
29.63;12.91
29.04;12.96
28.74;12.63
30.14;13.05
29.5;12.7
29.28;13
29.97;13.16
30.02;13.34
29.84;13.22
29.3;12.96
30;13.1
30.26;13.14
29.88;13.1
29.84;13.29
28.94;12.84
29.18;12.99
29.19;13.08
29.25;13.04
29.19;13.09
28.55;12.8
28.76;12.85
29.16;13.14
29.04;13.37
29.17;13.47
29.39;13.48
29.57;13.63
29.46;13.39
29.9;13.75
29.49;13.52
29.54;13.55
30.08;13.77
29.74;13.52
29.76;13.4
29.9;13.51
29.42;13.34
29.51;13.46
29.35;13.48
29.38;13.39
29.35;13.35
29.37;13.4
29.95;13.6
30.14;13.76
29.5;13.46
29.49;13.57
29.3;13.47
29.27;13.36
29.83;13.68
29.56;13.58
29.76;13.63
29.15;13.34
29.14;13.38
29.01;13.38
29.05;13.45
29.01;13.4
29.03;13.43
28.95;13.52
28.56;13.36
28.57;13.35
28.49;13.27
28.49;13.36
28.37;13.27
28.82;13.39
28.89;13.41
28.66;13.29
28.37;13.26
28.5;13.33
28.71;13.43
28.8;13.43
28.65;13.4
28.58;13.46
28.69;13.46
28.89;13.42
29.03;13.45
28.84;13.25
28.79;13.28
29.08;13.47
28.82;13.33
28.87;13.42
28.84;13.43
28.86;13.34
29.33;13.47
29.54;13.37
29.58;13.4
29.47;13.28
29.38;13.4
29.47;13.48
29.65;13.65
29.62;13.64
29.66;13.75
30.04;13.82
30.55;14.13
30.66;14.2
30.37;14.04
31;14.38
30.98;14.39
31.09;14.41
30.99;14.5
31.05;14.58
31.86;14.95
32.94;15.41
33.39;15.59
33.69;15.73
33.6;15.72
33.7;15.67
33.64;15.68
33.89;15.85
33.78;15.83
34.08;15.85
33.69;15.72
33.56;15.65
33.75;15.77
33.8;15.81
33.52;15.68
34.06;15.88
34.24;15.99
34.17;15.88
34.06;15.7
34.18;15.91
34.38;15.96
34.5;15.97
34.69;16.05
35.08;16.22
35;16.16
35.04;16.16
35.04;16.15
34.73;15.85
34.71;15.87
34.5;15.91
34.42;15.9
34.35;15.84
33.67;15.56
33.4;15.52
33.63;15.67
32.83;15.32
33.06;15.45
33.14;15.5
33.12;15.39
32.87;15.32
33.25;15.48
33.33;15.53
33.38;15.53
33;15.26
33.17;15.37
33.2;15.39
33;15.37
33.5;15.63
33.57;15.64
33.5;15.68
34;15.95
33.5;15.65
33.67;15.7
33.67;15.64
33.78;15.7
33.58;15.62
33.16;15.43
33.3;15.52
33.2;15.51
33.5;15.64
33.82;15.8
34.1;15.98
34.1;15.97
34.1;16
33.6;15.73
33.91;15.9
33.59;15.78
33.51;15.7
33.46;15.65
33.64;15.75
33.64;15.79
34.05;16.03
33.77;16.07
33.72;16.02
34.01;16.24
33.94;16.27
34.05;16.26
34.18;16.33
34.33;16.28
34.48;16.31
34.54;16.39
34.73;16.6
34.82;16.64
35.01;16.73
35.01;16.86
35.59;17.09
35.76;17.12
35.82;17.19
35.44;16.72
35.57;16.77
35;16.52
34.73;16.29
34.34;16.08
34.33;16.21
34.67;16.41
34.89;16.56
34.62;16.5
34.56;16.55
34.61;16.45
34.27;16.34
34.04;16.28
33.99;16.24
33.84;16.28
33.74;16.25
33.77;16.39
33.29;16.15
33.29;16.14
32.82;15.93
33.07;16.03
33.35;16.12
33.54;16.41
33.37;16.19
33.43;16.32
33.07;16.24
32.91;16.18
32.81;16.15
32.23;15.91
31.69;15.63
31.81;15.61
31.75;15.61
31.65;15.66
31.75;15.59
31.5;15.47
31.32;15.4
31.71;15.63
31.73;15.65
31.66;15.55
31.42;15.44
31.67;15.67
31.56;15.57
31.63;15.57
31.82;15.63
32.17;15.89
32.3;15.94
32.18;15.81
31.91;15.79
31.75;15.7
31.83;15.77
31.82;15.73
32.11;15.91
32.22;16.04
32.03;16.16
32.04;16.41
32.01;16.4
31.99;16.31
31.92;16.46
32.06;16.49
32.24;16.52
32.45;16.47
32.44;16.62
32.42;16.68
32.07;16.44
32.31;16.64
32.45;16.85
32.22;16.91
32.28;16.74
32.69;16.81
32.99;16.9
32.92;16.8
33.19;17.1
33.02;16.97
33.12;17.03
33.21;17.24
33.26;17.39
33.36;17.5
33.12;17.39
33.44;17.34
33.19;17.32
32.81;16.89
32.3;16.56
32.59;16.69
32.81;16.88
32.73;17.03
33.61;17.41
34.13;17.82
33.98;17.78
33.78;17.69
34.05;17.79
34.11;17.93
34.13;17.98
34.53;18.24
34.58;18.28
34.83;18.59
34.85;18.71
34.01;18.18
33.02;17.75
32.72;17.59
32.47;17.51
32.96;17.76
32.15;17.45
32.24;17.33
32.54;17.43
33.5;17.38
33.73;17.81
33.82;18.04
34.21;18.18
34.48;18.23
34.87;18.6
35.23;18.54
35.1;18.42
35.49;18.61
36.05;19.12
36.61;19.01
36.73;18.82
37.41;19.25
37.52;18.9
37.43;18.43
36.83;17.61
36.82;18.18
37.11;18.29
37.43;18.4
37.49;18.64
37.94;19.08
38.01;19.57
37.94;19.44
38.49;19.22
38.98;19.83
39.74;20.13
39.74;20.25
39.63;20.28
40.45;20.76
40.9;20.77
40.29;20.71
40.43;20.78
40.4;20.99
41.27;21.62
40.61;21.33
40.86;21.5
41.7;21.72
41.43;22.07
41.31;22.1
41.59;22.1
41.7;22.32
41.93;22.41
41.98;22.57
42.54;23.03
43.09;23.38
42.62;23.24
42.18;23.3
41.24;22.6
41.19;22.4
42.07;23.05
41.34;22.92
40.97;22.54
41.81;23.19
42.81;23.72
43.26;23.96
43.15;23.78
42.63;23.49
42.78;23.5
42.64;23.87
42.41;23.48
41.63;22.9
42.13;23.43
42.36;23.43
42.04;23.44
42.46;24
42.81;24.37
42.14;24.05
42.29;24.36
41.66;23.83
41.92;23.97
42.23;24.32
42.16;24.23
42.39;24.29
42.36;24.26
42.39;23.85
42.63;24.12
43.57;25.13
43.42;24.85
43;24.34
42.71;24.24
43.21;24.33
43.04;24.18
43.45;24.09
43.33;23.75
44;23.97
43.5;24.25
44.34;24.71
43.89;24.48
43.48;24.24
43.28;23.93
43.06;23.96
42.87;24.14
42.9;24.39
42.68;24.16
42.83;24.37
43.6;24.59
43.55;24.43
44.11;24.55
44;24.27
44.41;24.48
45.08;25.03
45.32;25.11
45.64;25.44
45.36;25.6
45.33;25.74
45.03;25.37
45.13;25.47
46.28;26.42
46.66;26.59
47.05;26.67
47.46;26.95
48.21;27.27
48.35;27.52
48.58;27.81
49.06;28.29
48.93;27.93
48.26;27.22
49;27.42
48.81;27.34
48.83;26.68
48.38;27
47.92;26.26
47.7;26.74
48;26.86
47.92;26.86
48.12;27.02
47.87;26.89
47.89;27.23
48.25;27.63
49.46;28.22
49.5;28.15
50.38;28.48
50.04;28.48
49.9;28.51
49.45;28.37
49.91;28.52
50.13;28.58
50.13;28.87
50.3;29.02
50.04;29.03
49.94;29.19
